Region,Subregion,dengue_inc,covid_inc
Africa,Burkina Faso,29.3,5.46804190232747
Africa,Cameroon,32.7,65.0007097150803
Africa,Cote dIvoire,35.7,61.069194251709
Africa,Ethiopia,21,15.6562622095729
Africa,Gabon,19.1,338.361201368721
Africa,Ghana,47.9,119.119703652164
Africa,Kenya,26.2,39.7293723603484
Africa,Mali,91.6,12.5180029622484
Africa,Namibia,8,87.5274900862524
Africa,Nigeria,40.7,21.12015485895
Africa,Sierra Leone,78.5,22.8532459318903
Africa,South Africa,1,848.594025597261
Africa,Sudan,27.7,26.7689753277301
Africa,United Republic of Tanzania,50.6,0.852107987092757
Africa,Zambia,4.1,33.8773656768978
Caribbean,Anguilla,70.58,19.9614079446404
Caribbean,Antigua and Barbuda,1583.5,92.9254145903112
Caribbean,Aruba,110.38,113.239684426268
Caribbean,Bahamas,7.52,152.321181544471
Caribbean,Barbados,76.22,42.4538314582891
Caribbean,Bermuda,2.82,250.662810315739
Caribbean,Cuba,40.71,23.2461310597976
Caribbean,Dominican Republic,217.94,658.329940972929
Caribbean,Dominica,1490.54,25.0031253906738
Caribbean,Grenada,108.34,21.3100343624304
Caribbean,Guyana,35.93,54.6684991208543
Caribbean,Sint Maarten,18.6,297.882243425646
Caribbean,Turks and Caicos islands,567.86,293.678190530166
Caribbean,Jamaica,286.38,29.8193850317494
Caribbean,Puerto Rico,8.77,627.704190887823
Caribbean,Saint Kitts and Nevis,147.73,31.9122974977004
Caribbean,Saint Vincent and the Grenadines,36.36,48.645580909312
Caribbean,Saint Lucia,235.55,13.6027031291658
Caribbean,Suriname,102.11,300.016705475646
Caribbean,Trinidad and Tobago,33.58,12.3540366993442
Caribbean,Venezuela,65.24,68.3747326403067
Caribbean,British Virgin Islands,425,26.4288074000661
Caribbean,United States Virgin Islands,0,403.272156021303
LatAmerica,Argentina,144.95,434.870275601192
LatAmerica,Belize,4040.31,14.0837631815221
LatAmerica,Bolivia,889.31,675.000464746554
LatAmerica,Chile,0.2,1868.12380372107
LatAmerica,Colombia,399.34,600.598002834755
LatAmerica,Costa Rica,357.01,357.01988608814
LatAmerica,El Salvador,498.2,262.865736044874
LatAmerica,Ecuador,131.63,488.758752733369
LatAmerica,Guatemala,318.33,284.551418327983
LatAmerica,Honduras,1426.6,430.961023394364
LatAmerica,Mexico,259.22,336.7592717112
LatAmerica,Nicaragua,3566.24,55.4301466936491
LatAmerica,Panama,317.44,1538.50682122422
LatAmerica,Paraguay,3365.55,76.9011837314389
LatAmerica,Peru,142.52,1232.80998034787
LatAmerica,Brazil,1732.25,1288.56247735961
LatAmerica,Uruguay,0.06,36.7904558993841
LatAmerica,Venezuela,65.24,68.3747326403067
SEAsia,Bangladesh,61.4427241186225,145.643875537502
SEAsia,Cambodia,408.242974370722,1.43549504332533
SEAsia,India,9.90728735981516,126.863582393617
SEAsia,Indonesia,76.9251041350239,40.1925068109566
SEAsia,Laos,579.762932337854,0.274893080336403
SEAsia,Malaysia,604.813455657492,27.7606147043573
SEAsia,Myanmar,49.900346951113,0.6487802545255
SEAsia,Nepal,52.4279102883588,68.9368581486345
SEAsia,Pakistan,11.1796543058035,125.991240800835
SEAsia,Philippines,439.121964730865,89.6432080408768
SEAsia,Sri Lanka,537.260833234602,13.146066103931
SEAsia,Thailand,160.407529355573,4.74498716890713
SEAsia,Vietnam,379.280244064381,0.606131691890358
Islands,Maldives,1337.2219291986,730.563027479826
Islands,French Polynesia,2186.83697153517,22.0712831247241
Islands,Singapore,675.1571104732,897.58839780847
Islands,Cape Verde,3825.44,446.052792506313
Islands,Seychelles,4528.65,115.924344112264
