"Incidence per 100,000 pop.",Country_sp,Total Casos de dengue,Población,Year
1437.742770824,Dominica,1066,74144,2019
49.836348208,Dominica,37,74243,2020
0,Curazao,0,150809,2019
0,Curazao,0,151345,2020
1260.421927013,Antigua y Barbuda,1223,97031,2019
415.567483881,Antigua y Barbuda,408,98179,2020
89.820612983,Aruba,106,118013,2019
9.210570386,Aruba,11,119428,2020
10.825493052,San Vicente y las Granadinas,11,101612,2019
28.602426275,San Vicente y las Granadinas,29,101390,2020
,"Bonaire, San Eustaquio y Saba",0,,2019
,"Bonaire, San Eustaquio y Saba",0,,2020
49.208800143,Ecuador,8416,17102632,2019
80.491879439,Ecuador,13956,17338395,2020
7.138700133,Argentina,3220,45106251,2019
135.231146440,Argentina,61553,45516881,2020
183.556074958,República Dominicana,20183,10995550,2019
31.962988480,República Dominicana,3550,11106596,2020
18.490696868,Isla de San Martín (Holanda),8,43265,2019
0,Isla de San Martín (Holanda),0,43847,2020
6.657658280,Bahamas,27,405548,2019
0.732370023,Bahamas,3,409629,2020
15.336848920,Suriname,86,560741,2019
87.450963731,Suriname,494,564888,2020
30.243591775,Trinidad y Tobago,416,1375498,2019
3.266201995,Trinidad y Tobago,45,1377747,2020
14.972403139,Barbados,44,293874,2019
59.071156980,Barbados,174,294560,2020
442.364082549,El Salvador,27470,6209817,2019
74.242898176,El Salvador,4626,6230899,2020
2930.955441127,Nicaragua,186173,6351956,2019
591.540342070,Nicaragua,37965,6417990,2020
34.659515861,Islas Turcas y Caicos,19,54819,2019
250.330794264,Islas Turcas y Caicos,140,55926,2020
2.798298634,Bermuda,2,71472,2019
0,Bermuda,0,71750,2020
84.179619104,Guayana Francesa,250,296984,2019
2465.499444441,Guayana Francesa,7500,304198,2020
226.482757298,Panamá,9448,4171620,2019
90.782943206,Panamá,3841,4230971,2020
142.254821053,Bolivia,16193,11383094,2019
723.500616584,Bolivia,83552,11548297,2020
1048.490609878,Brasil,2248570,214457810,2019
631.066131312,Brasil,1363084,215997014,2020
94.084232015,Granada,106,112665,2019
9.726422268,Granada,11,113094,2020
169.148518873,Paraguay,11811,6982621,2019
3118.734609133,Paraguay,220404,7067097,2020
0.349642575,Estados Unidos de América,1158,331195364,2019
0.066557630,Estados Unidos de América,222,333545530,2020
3413.090004998,Belice,13316,390145,2019
532.321302905,Belice,2118,397880,2020
678.726851317,Guadalupe,3230,475891,2019
1526.044535286,Guadalupe,7287,477509,2020
52.047845763,Perú,17143,32937002,2019
103.181215202,Perú,34377,33317111,2020
0,Islas Vírgenes (EUA),0,100907,2019
0,Islas Vírgenes (EUA),0,100156,2020
285.300103384,Guatemala,50432,17676825,2019
24.785010159,Guatemala,4465,18014921,2020
0.815976382,Puerto Rico,30,3676577,2019
8.054472178,Puerto Rico,296,3674977,2020
0,Uruguay,0,3482486,2019
0.057227587,Uruguay,2,3494818,2020
154.061624650,San Bartolomé,11,7140,2019
13886.548722269,San Bartolomé,989,7122,2020
48.937905361,Venezuela,16015,32725144,2019
16.188388514,Venezuela,5361,33116329,2020
213.167172255,Islas Vírgenes (RU),78,36591,2019
109.681388941,Islas Vírgenes (RU),41,37381,2020
29.390266966,Guyana,230,782572,2019
6.482009881,Guyana,51,786793,2020
0,Canadá,0,37283090,2019
0,Canadá,0,37599569,2020
0.826802997,Haití,93,11248145,2019
0.079097682,Haití,9,11378336,2020
218.818380744,Islas Caimán,133,60781,2019
56.502647553,Islas Caimán,35,61944,2020
1320.428805470,Honduras,112708,8535712,2019
223.719672188,Honduras,19353,8650558,2020
266.780606056,Jamaica,7555,2831915,2019
86.040813273,Saint Kitts y Nevis,46,53463,2019
35.302205459,Saint Kitts y Nevis,19,53821,2020
0.155336411,Chile,29,18669158,2019
0.042457391,Chile,8,18842420,2020
26.337008074,Jamaica,748,2840110,2020
387.179058927,Martinica,1530,395166,2019
33.791394458,Anguila,6,17756,2019
33.167495854,Anguila,6,18090,2020
255.842673394,Colombia,127553,49856030,2019
139.322105381,Colombia,69980,50228928,2020
4670.484856007,Martinica,18438,394777,2020
201.353324029,México,268458,133326828,2019
56.032078899,México,75552,134837046,2020
12.047612163,Santa Lucía,20,166008,2019
242.661589193,Santa Lucía,404,166487,2020
188.036930453,Costa Rica,9400,4999018,2019
167.992318312,Costa Rica,8473,5043683,2020
28.652330303,Cuba,3259,11374293,2019
12.476284721,Cuba,1418,11365563,2020
18.719580681,Montserrat,1,5342,2019
0,Montserrat,0,5373,2020
801.800968329,Isla de San Martín (Francia),260,32427,2019
6733.013883770,Isla de San Martín (Francia),2192,32556,2020
