"state","sarscov2","denv","pop","a10casos","a100casos","sarscov2100k","denv.100k"
11,39504,1048,1777225,15,17,2222.79114912293,58.9683354668092
12,19930,10307,881935,12,16,2259.80372703204,1168.68023153634
13,101777,3950,4144597,12,13,2455.65491650937,95.3048028553802
14,32586,1612,605761,13,16,5379.34928131722,266.111552245853
15,156285,5631,8602865,14,15,1816.66223984684,65.4549385582594
16,36595,220,845731,14,15,4327.02596925027,26.0129994052482
17,26434,14396,1572866,14,19,1680.62632163198,915.271866770596
21,121581,5721,7075181,13,15,1718.41540166958,80.8601221650725
22,52993,8061,3273227,14,16,1618.983345793,246.270729161161
23,174453,16343,9132078,12,13,1910.33190912298,178.962553758301
24,51507,32077,3506853,13,15,1468.75275353715,914.694741980916
25,83461,18874,4018127,14,16,2077.11204747884,469.721340316023
26,96524,38914,9557071,12,14,1009.97470877845,407.174959775856
27,60831,22434,3337357,13,16,1822.72978287909,672.208577026671
28,59724,6292,2298696,13,18,2598.16870086345,273.720404960029
29,164932,68137,14873064,12,14,1108.93088337413,458.123490896025
31,126610,484327,21168791,12,13,598.097453935844,2287.92943347591
32,83022,64998,4018650,12,15,2065.91765891531,1617.40883132395
33,167213,32316,17264943,11,13,968.511740814899,187.176986335837
35,552196,444843,45919049,10,12,1202.54232617056,968.754818942352
41,77098,45916,11433957,12,14,674.289749384224,401.575762441646
42,85081,2174,7164788,13,15,1187.48803174637,30.3428377783125
43,70455,1674,11377239,12,13,619.262722704516,14.7135873650892
50,26003,55642,2778986,12,17,935.701007489782,2002.24110520888
51,52922,11346,3484466,14,17,1518.79800233379,325.616608111544
52,69820,122536,7018354,13,15,994.820152987438,1745.93644036764
53,107922,38635,3015268,12,12,3579.18433784327,1281.31230789436
