"IndiaState","Pop2020","CasesCovid19","Dengue15-20","Dengue2020","Dengue2019","Dengue19Inc","CovidInc","Dengue19Inc","Dengue15-20Inc","rainfall","area"
"Meghalaya",366710,2626,377,14,82,"22.3609937007445","716.097188514085","22.3609937007445","102.806032014398",2818,22429
"ANisla",417036,3223,365,53,168,"40.284292003568","772.834959092261","40.284292003568","87.5224201267996",2967,8249
"DNHDD",615724,2450,9496,172,1491,"242.153952095419","397.90555508637","242.153952095419","1542.24944942864",,603
"Sikkim",690251,1738,1184,5,444,"64.3244269113699","251.792463900813","64.3244269113699","171.531805096986",2739,7096
"Chaigarh",1158473,5065,3930,6,286,"24.6876707527927","437.213469800332","24.6876707527927","339.23967153313",617,114
"Mizoram",1239244,1040,887,18,42,"3.38916307038808","83.9221331715143","3.38916307038808","71.5758962722434",1881,21081
"Puducherry",1413542,15581,9094,643,2030,"143.610872545704","1102.26650499242","143.610872545704","643.348411295879",998,479
"ArunPradesh",1570458,4574,2088,0,123,"7.83211012328888","291.252615479051","7.83211012328888","132.954845019733",2782,83743
"Goa",1586250,19355,2276,271,992,"62.5374310480694","1220.17336485422","62.5374310480694","143.483057525611",3005,3702
"Nagaland",2249695,4006,897,0,8,"0.355603759620749","178.06858263009","0.355603759620749","39.8720715474764",1881,16579
"Manipur",3091545,6609,704,35,359,"11.6123168189368","213.77660684221","11.6123168189368","22.7717856282215",1881,22327
"Tripura",4169794,13816,505,22,114,"2.73394800798313","331.335312967499","2.73394800798313","12.1109100353639",1881,10486
"HPradesh",7451955,6615,5812,3,344,"4.61623828914694","88.7686519846134","4.61623828914694","77.9929562108198",1251,55673
"Uttarakhand",11250858,22180,15966,5,10622,"94.4105773977416","197.140520305207","94.4105773977416","141.909177060096",,53483
"JK",13606320,39943,1373,0,439,"3.22644182997313","293.562109372703","3.22644182997313","10.0908989352007",1011,42241
"Delhi",18710922,182306,41849,67,5077,"27.1338846904498","974.329324872393","27.1338846904498","223.660811583737",617,1484
"Haryana",28204692,70009,20072,3,1207,"4.27942981969099","248.217566070213","4.27942981969099","71.1654642426161",617,44212
"Chhgarh",29436231,37967,4635,55,722,"2.45275966206407","128.980507049289","2.45275966206407","15.74590170868",,135191
"Punjab",30141373,58515,65362,128,10289,"34.1358039661962","194.135151043053","34.1358039661962","216.85143540077",649,50362
"Assam",35607039,118333,12640,21,196,"0.550452959595994","332.330357489147","0.550452959595994","35.498599027007",2818,78438
"Kerala",35699443,79625,42510,2267,4652,"13.0310156379751","223.042695652142","13.0310156379751","119.077488127756",3055,38863
"Jharkhand",38593948,4680,2567,53,825,"2.13764085498586","12.1262535773744","2.13764085498586","6.65130190878632",,79714
"Telangana",39362732,135844,29808,648,13331,"33.8670598372085","345.108159667373","33.8670598372085","75.7264511010059",,112077
"Odisha",46356334,113411,24215,271,3758,"8.10676702778093","244.650493716781","8.10676702778093","52.2366587487268",1489,155707
"AndPradesh",53903393,465730,21251,453,5286,"9.80643277873065","864.008690510447","9.80643277873065","39.4242343891042",2735,162968
"Gujarat",63872399,100213,44889,720,18219,"28.524057785899","156.895625605044","28.524057785899","70.2791827186576",1685,196024
"Karnataka",67562686,370206,52872,2455,16986,"25.1410963738179","547.944467453529","25.1410963738179","78.2562137923291",5313,191791
"TamilNadu",77841267,445851,45082,1709,8527,"10.9543437929909","572.769454022376","10.9543437929909","57.9152957518022",998,130058
"Rajasthan",81032689,86227,41411,356,13706,"16.9141616416061","106.410142701793","16.9141616416061","51.1040673968008",988,342239
"M.Pradesh",85358965,68586,16717,98,4189,"4.90751030076337","80.3500839074138","4.90751030076337","19.5843518018289",2355,308245
"Maharashtra",123144223,843844,46974,1499,14907,"12.1053181682749","685.248547956651","12.1053181682749","38.1455165785568",5822,307713
"Bihar",124799926,142967,14391,0,6712,"5.37820831720685","114.556958952043","5.37820831720685","11.531256837444",2512,94163
"UPradesh",237882725,247101,35431,28,10557,"4.43790107079024","103.875134270469","4.43790107079024","14.8943139944273",3588,828
