cidade;km
Adamantina;593
Adolfo;494
Aguaí;206
Águas da Prata;235
Águas de Lindóia;170
Águas de Santa Bárbara;294
Águas de São Pedro;190
Agudos;325
Alambari;151
Alfredo Marcondes;595
Altair;465
Altinópolis;347
Alto Alegre;502
Alumínio;72
Álvares Florence;538
Álvares Machado;578
Álvaro de Carvalho;425
Alvinlândia;439
Americana;129
Américo Brasiliense;285
Américo de Campos;535
Amparo;130
Analândia;222
Andradina;640
Angatuba;210
Anhembi;224
Anhumas;560
Aparecida;167
Aparecida d'Oeste;629
Apiaí;231
Araçariguama;50
Araçatuba;530
Araçoiaba da Serra;117
Aramina;439
Arandu;276
Arapeí;299
Araraquara;273
Araras;169
Arco-Íris;542
Arealva;384
Areias;239
Areiópolis;271
Ariranha;378
Artur Nogueira;151
Arujá;38
Aspásia;610
Assis;429
Atibaia;60
Auriflama;568
Avaí;382
Avanhandava;485
Avaré;264
Bady Bassitt;450
Balbinos;416
Bálsamo;464
Bananal;348
Barão de Antonina;373
Barbosa;521
Bariri;321
Barra Bonita;302
Barra do Chapéu;344
Barra do Turvo;314
Barretos;424
Barrinha;353
Barueri;32
Bastos;549
Batatais;353
Bauru;343
Bebedouro;384
Bento de Abreu;576
Bernardino de Campos;355
Bertioga;92
Bilac;537
Birigui;518
Biritiba Mirim;72
Boa Esperança do Sul;301
Bocaina;305
Bofete;189
Boituva;117
Bom Jesus dos Perdões;77
Bom Sucesso de Itararé;371
Borá;481
Boracéia;337
Borborema;384
Borebi;311
Botucatu;230
Bragança Paulista;83
Braúna;512
Brejo Alegre;529
Brodowski;339
Brotas;245
Buri;252
Buritama;556
Buritizal;436
Cabrália Paulista;374
Cabreúva;86
Caçapava;112
Cachoeira Paulista;202
Caconde;297
Cafelândia;427
Caiabu;567
Caieiras;35
Caiuá;632
Cajamar;42
Cajati;219
Cajobi;423
Cajuru;311
Campina do Monte Alegre;230
Campinas;95
Campo Limpo Paulista;57
Campos do Jordão;167
Campos Novos Paulista;414
Cananéia;243
Canas;199
Cândido Mota;425
Cândido Rodrigues;351
Canitar;366
Capão Bonito;226
Capela do Alto;130
Capivari;135
Caraguatatuba;175
Carapicuíba;25
Cardoso;559
Casa Branca;240
Cássia dos Coqueiros;324
Castilho;656
Catanduva;385
Catiguá;399
Cedral;427
Cerqueira César;287
Cerquilho;146
Cesário Lange;147
Charqueada;191
Chavantes;348
Clementina;529
Colina;405
Colômbia;468
Conchal;184
Conchas;194
Cordeirópolis;162
Coroados;510
Coronel Macedo;342
Corumbataí;202
Cosmópolis;142
Cosmorama;500
Cotia;33
Cravinhos;294
Cristais Paulista;414
Cruzália;481
Cruzeiro;221
Cubatão;47
Cunha;222
Descalvado;242
Diadema;16
Dirce Reis;481
Divinolândia;275
Dobrada;318
Dois Córregos;288
Dolcinópolis;600
Dourado;278
Dracena;647
Duartina;390
Dumont;330
Echaporã;469
Eldorado;232
Elias Fausto;136
Elisiário;408
Embaúba;437
Embu das Artes;25
Embu-Guaçu;47
Emilianópolis;609
Engenheiro Coelho;144
Espírito Santo do Pinhal;202
Espírito Santo do Turvo;319
Estiva Gerbi;181
Estrela do Norte;616
Estrela d'Oeste;570
Euclides da Cunha Paulista;717
Fartura;357
Fernando Prestes;362
Fernandópolis;555
Fernão;408
Ferraz de Vasconcelos;39
Flora Rica;643
Floreal;520
Flórida Paulista;607
Florínea;474
Franca;400
Francisco Morato;48
Franco da Rocha;43
Gabriel Monteiro;556
Gália;399
Garça;409
Gastão Vidigal;538
Gavião Peixoto;313
General Salgado;545
Getulina;462
Glicério;503
Guaiçara;453
Guaimbê;478
Guaíra;466
Guapiaçu;456
Guapiara;258
Guará;619
Guaraçaí;605
Guaraci;476
Guarani d'Oeste;580
Guarantã;420
Guararapes;558
Guararema;76
Guaratinguetá;176
Guareí;207
Guariba;337
Guarujá;76
Guarulhos;15
Guatapará;297
Guzolândia;576
Herculândia;504
Holambra;125
Hortolândia;105
Iacanga;392
Iacri;541
Iaras;282
Ibaté;247
Ibirá;417
Ibirarema;390
Ibitinga;347
Ibiúna;64
Icém;506
Iepê;539
Igaraçu do Tietê;296
Igarapava;448
Igaratá;91
Iguape;191
Ilha Comprida;195
Ilha Solteira;658
Ilhabela;206
Indaiatuba;102
Indiana;561
Indiaporã;599
Inúbia Paulista;579
Ipaussu;358
Iperó;120
Ipeúna;194
Ipiguá;447
Iporanga;302
Ipuã;412
Iracemápolis;163
Irapuã;447
Irapuru;631
Itaberá;318
Itaí;301
Itajobi;401
Itaju;333
Itanhaém;98
Itaoca;341
Itapecerica da Serra;33
Itapetininga;163
Itapeva;284
Itapevi;36
Itapira;176
Itapirapuã Paulista;392
Itápolis;359
Itaporanga;360
Itapuí;326
Itapura;692
Itaquaquecetuba;34
Itararé;333
Itariri;141
Itatiba;84
Itatinga;221
Itirapina;213
Itirapuã;421
Itobi;248
Itu;103
Itupeva;75
Ituverava;413
Jaborandi;415
Jaboticabal;344
Jacareí;75
Jaci;46
Jacupiranga;207
Jaguariúna;134
Jales;585
Jambeiro;135
Jandira;28
Jardinópolis;334
Jarinu;71
Jaú;269
Jeriquara;438
Joanópolis;115
João Ramalho;505
José Bonifácio;482
Júlio Mesquita;443
Jumirim;167
Jundiaí;60
Junqueirópolis;638
Juquiá;145
Juquitiba;78
Lagoinha;193
Laranjal Paulista;174
Lavínia;600
Lavrinhas;224
Leme;189
Lençóis Paulista;301
Limeira;151
Lindóia;161
Lins;446
Lorena;188
Lourdes;555
Louveira;73
Lucélia;586
Lucianópolis;402
Luís Antônio;275
Luiziânia;521
Lupércio;428
Lutécia;485
Macatuba;315
Macaubal;510
Macedônia;570
Magda;530
Mairinque;66
Mairiporã;35
Manduri;353
Marabá Paulista;648
Maracaí;456
Marapoama;413
Mariápolis;626
Marília;444
Marinópolis;623
Martinópolis;553
Matão;305
Mauá;26
Mendonça;485
Meridiano;545
Mesópolis;624
Miguelópolis;460
Mineiros do Tietê;296
Mira Estrela;589
Miracatu;135
Mirandópolis;607
Mirante do Paranapanema;530
Mirassol;453
Mirassolândia;468
Mococa;174
Mogi das Cruzes;51
Mogi Guaçu;172
Mogi Mirim;162
Mombuca;165
Monções;533
Mongaguá;77
Monte Alegre do Sul;145
Monte Alto;353
Monte Aprazível;475
Monte Azul Paulista;406
Monte Castelo;669
Monte Mor;120
Monteiro Lobato;122
Morro Agudo;382
Morungaba;103
Motuca;325
Murutinga do Sul;628
Nantes;548
Narandiba;605
Natividade da Serra;185
Nazaré Paulista;56
Neves Paulista;470
Nhandeara;510
Nipoã;494
Nova Aliança;464
Nova Campina;302
Nova Canaã Paulista;646
Nova Castilho;565
Nova Europa;317
Nova Granada;471
Nova Guataporanga;672
Nova Independência;671
Nova Luzitânia;548
Nova Odessa;123
Novais;402
Novo Horizonte;429
Nuporanga;374
Ocauçu;420
Óleo;360
Olímpia;443
Onda Verde;465
Oriente;465
Orindiúva;524
Orlândia;366
Osasco;18
Oscar Bressane;480
Osvaldo Cruz;662
Ourinhos;370
Ouro Verde;673
Ouroeste;591
Pacaembu;617
Palestina;493
Palmares Paulista;411
Palmeira d'Oeste;636
Palmital;398
Panorama;687
Paraguaçu Paulista;458
Paraibuna;124
Paraíso;429
Paranapanema;256
Paranapuã;605
Parapuã;662
Pardinho;234
Pariquera-Açu;253
Parisi;535
Patrocínio Paulista;413
Paulicéia;685
Paulínia;126
Paulistânia;336
Paulo de Faria;529
Pederneiras;320
Pedra Bela;113
Pedranópolis;563
Pedregulho;440
Pedreira;145
Pedrinhas Paulista;473
Pedro de Toledo;148
Penápolis;491
Pereira Barreto;625
Pereiras;165
Peruíbe;130
Piacatu;548
Piedade;94
Pilar do Sul;142
Pindamonhangaba;145
Pindorama;378
Pinhalzinho;108
Piquerobi;615
Piquete;205
Piracaia;80
Piracicaba;162
Piraju;328
Pirajuí;398
Pirangi;387
Pirapora do Bom Jesus;53
Pirapozinho;584
Pirassununga;213
Piratininga;349
Pitangueiras;364
Planalto;555
Platina;419
Poá;36
Poloni;488
Pompéia;474
Pongaí;444
Pontal;351
Pontalinda;587
Pontes Gestal;551
Populina;609
Porangaba;169
Porto Feliz;112
Porto Ferreira;228
Potim;170
Potirendaba;443
Pracinha;601
Pradópolis;320
Praia Grande;67
Pratânia;265
Presidente Alves;397
Presidente Bernardes;589
Presidente Epitácio;655
Presidente Prudente;550
Presidente Venceslau;620
Promissão;467
Quadra;159
Quatá;486
Queiroz;533
Queluz;234
Quintana;491
Rafard;144
Rancharia;518
Redenção da Serra;166
Regente Feijó;556
Reginópolis;423
Registro;175
Restinga;389
Ribeira;362
Ribeirão Bonito;262
Ribeirão Branco;288
Ribeirão Corrente;428
Ribeirão do Sul;387
Ribeirão dos Índios;611
Ribeirão Grande;236
Ribeirão Pires;33
Ribeirão Preto;314
Rifaina;464
Rincão;310
Rinópolis;574
Rio Claro;175
Rio das Pedras;181
Rio Grande da Serra;37
Riolândia;562
Riversul;377
Rosana;762
Roseira;160
Rubiácea;571
Rubinéia;633
Sabino;478
Sagres;584
Sales;458
Sales Oliveira;362
Salesópolis;97
Salmourão;586
Saltinho;173
Salto;130
Salto de Pirapora;119
Salto Grande;377
Sandovalina;624
Santa Adélia;371
Santa Albertina;617
Santa Bárbara d'Oeste;138
Santa Branca;93
Santa Clara d'Oeste;638
Santa Cruz da Conceição;197
Santa Cruz da Esperança;348
Santa Cruz das Palmeiras;244
Santa Cruz do Rio Pardo;340
Santa Ernestina;325
Santa Fé do Sul;623
Santa Gertrudes;167
Santa Isabel;58
Santa Lúcia;289
Santa Maria da Serra;220
Santa Mercedes;654
Santa Rita do Passa Quatro;253
Santa Rita d'Oeste;629
Santa Rosa de Viterbo;307
Santa Salete;606
Santana da Ponte Pensa;614
Santana de Parnaíba;40
Santo Anastácio;596
Santo André;18
Santo Antônio da Alegria;359
Santo Antônio de Posse;150
Santo Antônio do Aracanguá;555
Santo Antônio do Jardim;213
Santo Antônio do Pinhal;161
Santo Expedito;609
Santópolis do Aguapeí;537
Santos;55
São Bento do Sapucaí;164
São Bernardo do Campo;21
São Caetano do Sul;11
São Carlos;231
São Francisco;606
São João da Boa Vista;229
São João das Duas Pontes;583
São João de Iracema;564
São João do Pau d'Alho;680
São Joaquim da Barra;384
São José da Bela Vista;423
São José do Barreiro;268
São José do Rio Pardo;266
São José do Rio Preto;440
São José dos Campos;91
São Lourenço da Serra;56
São Luiz do Paraitinga;171
São Manuel;254
São Miguel Arcanjo;179
São Paulo;-
São Pedro;198
São Pedro do Turvo;395
São Roque;62
São Sebastião;198
São Sebastião da Grama;160
São Simão;285
São Vicente;61
Sarapuí;152
Sarutaiá;342
Sebastianópolis do Sul;505
Serra Azul;337
Serra Negra;150
Serrana;315
Sertãozinho;335
Sete Barras;190
Severínia;420
Silveiras;221
Socorro;134
Sorocaba;100
Sud Mennucci;614
Sumaré;120
Suzanápolis;627
Suzano;38
Tabapuã;409
Tabatinga;330
Taboão da Serra;18
Taciba;554
Taguaí;232
Taiaçu;366
Taiúva;363
Tambaú;257
Tanabi;478
Tapiraí;133
Tapiratiba;281
Taquaral;360
Taquaritinga;330
Taquarituba;444
Taquarivaí;263
Tarabai;563
Tarumã;357
Tatuí;159
Taubaté;130
Tejupá;357
Teodoro Sampaio;672
Terra Roxa;410
Tietê;159
Timburi;368
Torre de Pedra;173
Torrinha;261
Trabiju;307
Tremembé;138
Três Fronteiras;621
Tuiuti;146
Tupã;524
Tupi Paulista;663
Turiúba;542
Turmalina;607
Ubarana;494
Ubatuba;224
Ubirajara;415
Uchoa;417
União Paulista;503
Urânia;595
Uru;453
Urupês;432
Valentim Gentil;535
Valinhos;85
Valparaíso;577
Vargem;97
Vargem Grande do Sul;246
Vargem Grande Paulista;46
Várzea Paulista;63
Vera Cruz;428
Vinhedo;79
Viradouro;398
Vista Alegre do Alto;380
Vitória Brasil;588
Votorantim;102
Votuporanga;519
Zacarias;567
Minas Gerais;200
Paraná;340
Mato Grosso do Sul;650
Rio de Janeiro;240
